"_id","timestamp","device_id","datatype","double_energy","inference","blob_feature","double_convo_start","double_convo_end"
1,1587649168374,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,0,1,NULL,0,0
2,1587649169334,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,0,1,NULL,0,0
3,1587649170294,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,0,1,NULL,0,0
4,1587649171254,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,18,1,NULL,0,0
5,1587649172215,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,69,1,NULL,0,0
6,1587649173174,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,85,1,NULL,0,0
7,1587649174134,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,81,1,NULL,0,0
8,1587649175095,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,91,1,NULL,0,0
9,1587649176033,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,84,1,NULL,0,0
10,1587649176993,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,77,1,NULL,0,0
11,1587649177953,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,96,1,NULL,0,0
12,1587649178913,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,77,1,NULL,0,0
13,1587649179873,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,84,1,NULL,0,0
14,1587649180834,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,61,1,NULL,0,0
15,1587649181793,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,84,1,NULL,0,0
16,1587649182753,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,99,1,NULL,0,0
17,1587649183713,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,86,1,NULL,0,0
18,1587649184672,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,90,1,NULL,0,0
19,1587649185632,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,76,1,NULL,0,0
20,1587649186572,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,68,1,NULL,0,0
21,1587649187531,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,77,1,NULL,0,0
22,1587649188492,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,97,1,NULL,0,0
23,1587649189452,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,80,1,NULL,0,0
24,1587649190412,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,73,1,NULL,0,0
25,1587649191371,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,70,1,NULL,0,0
26,1587649192332,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,83,1,NULL,0,0
27,1587649193291,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,49,1,NULL,0,0
28,1587649194251,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,70,1,NULL,0,0
29,1587649195212,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,315,1,NULL,0,0
30,1587649196172,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,562,1,NULL,0,0
31,1587649197132,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,1288,1,NULL,0,0
32,1587649198070,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,208,1,NULL,0,0
33,1587649199030,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,93,1,NULL,0,0
34,1587649199990,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,88,1,NULL,0,0
35,1587649203680,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,87,1,NULL,0,0
36,1587649204639,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,109,1,NULL,0,0
37,1587649205599,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,74,1,NULL,0,0
38,1587649206559,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,95,1,NULL,0,0
39,1587649207519,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,80,1,NULL,0,0
40,1587649208479,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,96,1,NULL,0,0
41,1587649209439,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,57,1,NULL,0,0
42,1587649210399,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,71,1,NULL,0,0
43,1587649211338,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,69,1,NULL,0,0
44,1587649212297,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,195,1,NULL,0,0
45,1587649213258,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,311,1,NULL,0,0
46,1587649214218,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,299,1,NULL,0,0
47,1587649215178,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,240,1,NULL,0,0
48,1587649216138,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,394,1,NULL,0,0
49,1587649217097,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,365,1,NULL,0,0
50,1587649218057,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,354,1,NULL,0,0
51,1587649219018,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,367,1,NULL,0,0
52,1587649219978,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,346,1,NULL,0,0
53,1587649220937,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,319,1,NULL,0,0
54,1587649221898,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,323,1,NULL,0,0
55,1587649222836,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,388,1,NULL,0,0
56,1587649223795,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,307,1,NULL,0,0
57,1587649224756,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,303,1,NULL,0,0
58,1587649225716,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,343,1,NULL,0,0
59,1587649226676,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,307,1,NULL,0,0
60,1587649404551,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
61,1587649405511,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12731,1,NULL,0,0
62,1587649406469,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12723,1,NULL,0,0
63,1587649407431,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
64,1587649408391,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12725,1,NULL,0,0
65,1587649409351,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
66,1587649410311,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12712,1,NULL,0,0
67,1587649411270,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
68,1587649412208,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12718,1,NULL,0,0
69,1587649413168,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12711,1,NULL,0,0
70,1587649414129,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12718,1,NULL,0,0
71,1587649415088,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
72,1587649416048,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12718,1,NULL,0,0
73,1587649417008,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12724,1,NULL,0,0
74,1587649417969,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
75,1587649418929,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12718,1,NULL,0,0
76,1587649419888,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12720,1,NULL,0,0
77,1587649420849,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12720,1,NULL,0,0
78,1587649421809,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12712,1,NULL,0,0
79,1587649422747,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12713,1,NULL,0,0
80,1587649423708,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12720,1,NULL,0,0
81,1587649424668,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
82,1587649425628,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12712,1,NULL,0,0
83,1587649426587,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
84,1587649427546,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12726,1,NULL,0,0
85,1587649428507,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
86,1587649429467,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
87,1587649430427,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12726,1,NULL,0,0
88,1587649431386,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
89,1587649432347,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12712,1,NULL,0,0
90,1587649433307,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
91,1587649434246,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
92,1587649435205,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12712,1,NULL,0,0
93,1587649436166,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12714,1,NULL,0,0
94,1587649437125,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12720,1,NULL,0,0
95,1587649438086,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12720,1,NULL,0,0
96,1587649439046,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12721,1,NULL,0,0
97,1587649440005,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
98,1587649440965,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12723,1,NULL,0,0
99,1587649441926,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12718,1,NULL,0,0
100,1587649442885,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12714,1,NULL,0,0
101,1587649443845,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
102,1587649444784,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12714,1,NULL,0,0
103,1587649445744,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12726,1,NULL,0,0
104,1587649446704,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12719,1,NULL,0,0
105,1587649447664,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12717,1,NULL,0,0
106,1587649448624,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12723,1,NULL,0,0
107,1587649449583,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12735,1,NULL,0,0
108,1587649450544,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
109,1587649451504,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
110,1587649452464,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12853,1,NULL,0,0
111,1587649453424,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,13098,1,NULL,0,0
112,1587649454384,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12712,1,NULL,0,0
113,1587649455344,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12713,1,NULL,0,0
114,1587649456283,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12721,1,NULL,0,0
115,1587649457243,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12722,1,NULL,0,0
116,1587649458203,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
117,1587649459162,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
118,1587649460122,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12727,1,NULL,0,0
119,1587649461082,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12722,1,NULL,0,0
120,1587649462042,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
121,1587649463003,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12726,1,NULL,0,0
122,1588095862218,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6507,1,NULL,0,0
123,1588095863178,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6495,1,NULL,0,0
124,1588095864138,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6488,1,NULL,0,0
125,1588095865098,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6489,1,NULL,0,0
126,1588095866057,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6486,1,NULL,0,0
127,1588095867018,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6810,1,NULL,0,0
128,1588095867978,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6509,1,NULL,0,0
129,1588095868938,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6501,1,NULL,0,0
130,1588095869877,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6520,1,NULL,0,0
131,1588095870837,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6608,1,NULL,0,0
132,1588095871797,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6545,1,NULL,0,0
133,1588095872757,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6504,1,NULL,0,0
134,1588095873717,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6490,1,NULL,0,0
135,1588095874677,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6602,1,NULL,0,0
136,1588095875636,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6508,1,NULL,0,0
137,1588095876596,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6497,1,NULL,0,0
138,1588095877556,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6501,1,NULL,0,0
139,1588095878517,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6492,1,NULL,0,0
140,1588095879476,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6496,1,NULL,0,0
141,1588095880415,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6489,1,NULL,0,0
142,1588095881375,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6484,1,NULL,0,0
143,1588095882335,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6494,1,NULL,0,0
144,1588095883295,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6507,1,NULL,0,0
145,1588095884255,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6506,1,NULL,0,0
146,1588095885215,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6502,1,NULL,0,0
147,1588095886175,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6509,1,NULL,0,0
148,1588095887135,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6499,1,NULL,0,0
149,1588095888095,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6511,1,NULL,0,0
150,1588095889055,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6489,1,NULL,0,0
151,1588095890015,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6499,1,NULL,0,0
152,1588095890975,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6524,1,NULL,0,0
153,1588095891913,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6506,1,NULL,0,0
154,1588095892874,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6509,1,NULL,0,0
155,1588095893833,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6503,1,NULL,0,0
156,1588095894793,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6502,1,NULL,0,0
157,1588095895753,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6497,1,NULL,0,0
158,1588095896713,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6498,1,NULL,0,0
159,1588095897673,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6507,1,NULL,0,0
160,1588095898633,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6492,1,NULL,0,0
161,1588095899593,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6504,1,NULL,0,0
162,1588095900553,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6507,1,NULL,0,0
163,1588095901513,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6504,1,NULL,0,0
164,1588095902452,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6523,1,NULL,0,0
165,1588095903412,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6505,1,NULL,0,0
166,1588095904372,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6499,1,NULL,0,0
167,1588095905332,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6491,1,NULL,0,0
168,1588095906292,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6539,1,NULL,0,0
169,1588095907252,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6542,1,NULL,0,0
170,1588095908212,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6495,1,NULL,0,0
171,1588095909172,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6547,1,NULL,0,0
172,1588095910132,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6511,1,NULL,0,0
173,1588095911092,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6496,1,NULL,0,0
174,1588095912052,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6500,1,NULL,0,0
175,1588095913012,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6504,1,NULL,0,0
176,1588095913950,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6479,1,NULL,0,0
177,1588095914910,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6507,1,NULL,0,0
178,1588095915870,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6489,1,NULL,0,0
179,1588095916831,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6488,1,NULL,0,0
180,1588095917790,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6498,1,NULL,0,0
181,1588095918750,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6494,1,NULL,0,0
182,1588095919710,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6492,1,NULL,0,0
183,1588095920670,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6487,1,NULL,0,0
